"address","maker_trades_1wk","maker_avg_size","maker_unique_markets"
"0x4b188496d1b3da1716165380999afb9b314c725f",127980,9.126,1018
"0x70befafc948a44c647d463d9b766dcfdc275d900",124587,12.1522,5779
"0x253ad134a7728b899610f8a004cbfc4a12f6af26",123677,15.283,2892
"0x542b546f49025e5e1a76350df7b6fb9f0cd3a0eb",123341,4.5025,1223
"0x537494c54dee9162534675712f2e625c9713042e",121299,4.3618,10958
"0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86",120258,61.1578,4137
"0x30cecdf29f069563ea21b8ae94492e41e53a6b2b",119516,13.9417,3943
"0x1cdd071bb612de6d66d0c882b676c663697de595",113279,10.0117,4676
"0x113d4c0b5a6702ab045ea2cba7c3f71d51fc3ce8",112104,8.9028,2333
"0x2663daca3cecf3767ca1c3b126002a8578a8ed1f",109579,1.3908,122
"0x885278f0e304bc2d53f805af2ab779cb6011c569",106704,5.3654,4586
"0x39fd921acf9be28b17a422bf624dc6b30685849e",105140,2.0833,6033
"0xd84c2b6d65dc596f49c7b6aadd6d74ca91e407b9",104810,117.9574,6918
"0xdc1e9e397b479e11591b1f3025c8ecd641e6d9c8",102328,9.2622,1812
"0x981472bb9e456f4da72beca2756afae15a00a510",98418,11.7462,1711
"0xd6eef76188c7068719ac881460b7431e1ae137a2",98150,7.0833,4761
"0xee613b3fc183ee44f9da9c05f53e2da107e3debf",97252,161.6421,1898
"0xf247584e41117bbbe4cc06e4d2c95741792a5216",96347,10.1135,686
"0xb00f5c56ed228a83e5d3c10dbf7e72ea34156713",94940,2.2919,642
"0xf539c942036cc7633a1e0015209a1343e9b2dda9",93331,5.9749,1367
"0xf4fea8cf6030cbcd73502cde708e74ad21d8ebac",92920,11.9015,1615
"0xdb1d1d4bcfbeb5f6134a8b86c851ab21536ab6c2",88786,4.5748,1572
"0x095fd7cc9ddf7110586d1bda3974eccc52155f24",87682,3.518,2290
"0xa9650fe4301f45e7f090ada7252f9c1268183565",84997,8.6978,5108
"0x09aac9baa706f8de0c1337dff7180ab42f3edbb6",82658,13.3079,1897
"0x997cda7b31612e3c394bfb55440619f3f689251e",79859,31.2843,159
"0x9a1d392572d0e6bfefbf9302101b9e44c8ee86d6",79297,6.8231,2515
"0xd37ab1a5eeb25696c568e20e94af72b8d3422358",79119,14.0317,2039
"0x912a58103662ebe2e30328a305bc33131eca0f92",77314,2.6663,1324
"0x030c04d83a7c2c31aa0ea2356bf0a00f9a79537b",76422,15.2825,1757
"0xb9ab350b7b39748dd161460c81af496ee2d2dfd0",76360,4.7558,887
"0x10040fe248682c406c4777958d243d62846e9b8f",75999,6.3685,667
"0x4133bcbad1d9c41de776646696f41c34d0a65e70",75870,121.7187,811
"0x2e0cdd6a0884d56c2540eb1f4a14de9baafd54a7",75819,8.0683,544
"0x52fbe49f20d9968c8f8e15a5d75fa36f4780a68b",74843,2.0835,1454
"0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e",74045,220.2831,3926
"0x372e593fa57bed5525c41692d616be5555b54453",73565,4.3789,576
"0x88f46b9e5d86b4fb85be55ab0ec4004264b9d4db",72585,10.8572,5645
"0x87d6b08de837a3d1237ef8f26f149fc0551048a4",72537,8.1567,8086
"0x7da07b2a8b009a406198677debda46ad651b6be2",71904,0.2887,10636
"0x6bf76476541a93fafe8dcebcc5cc60bcb9671769",71728,3.6889,6344
"0x801ba46b0e7ba3f82e6a3cfcedb436318e43e036",71160,0.3858,41
"0xf095d79d13b1c65402debef435a3c3eceef57ba8",70049,0.2924,11437
"0x6786ee962d54738152f2c04f9008bafcb9740d36",69751,0.0908,8
"0x3329cfc2b8d8ceb8d198f081bdf4262f421f43a6",69644,0.0684,7586
"0x81a88dbff36db0a995961ffbd184dce3912c9672",69186,3.6666,2231
"0x893575c7d99542163c6b6e8a0fe5af0b6d217daa",68345,8.3894,9986
"0xa4bd8f49695cf5d55924aca4cc2694952874e8a2",67744,8.9252,5243
"0x507e52ef684ca2dd91f90a9d26d149dd3288beae",66041,99.7668,3262
"0xd0e77a638c0b0ddeef9a59db053d596d63fab14f",66017,87.6752,1450
"0x40d4c5fec7ca00a5d4f2c9f45371aef405195b2d",64829,6.5881,1614
"0xbcd5732808405131e2ed481efea993ad0567cee8",63975,5.5015,1310
"0x5c4600b33a02adf80dd07d6853f0c59e8d9e753d",63844,3.4759,4134
"0x7a1f8583ebfd41c5958327ca264f7299c5821033",62878,19.611,1907
"0x2652dd1140c3b9e69c8852264cf8dbe727672a1d",62716,52.2024,1698
"0x1e0f76debce765536a8b0b900d589e22b472d6bf",62544,2.6511,741
"0x51dbdd2b19427dc8e88bb15a4046a38d8427f9b3",62476,21.0162,655
"0xe89ea370d21cfe36a27c4236f348a884c36b0600",61751,26.042,290
"0xfac742f86abd4d37993a31e6844e3b0961387111",61750,10.6434,1580
"0xf38190909d9f72d4d3274dc5fa51ad8e42ca2b5d",61722,3.65,1188
"0xf0b0ef1d6320c6be896b4c9c54dd74407e7f8cab",61615,9.4786,2910
"0xe0afeb157a0b7e76ce7dde16daa1f265b0362dec",61206,3.7598,1348
"0x5924ca480d8b08cd5f3e5811fa378c4082475af6",60460,6.785,2564
"0x0e2a9cbfc3c5baac8a2f58ff18ecd3284ddcf333",60147,3.1936,648
"0x7ab6ac0f0d6ca5a15ec57abeaf413d31c8cdfa77",59953,2.7958,1086
"0x972bf37cae72a169e17ae0e6179821d5778b78ba",59688,23.5945,1210
"0x188ac9456fd51b59f4c19f964066a58791e87194",59429,5.7363,1012
"0xca8f0374e3fc79b485499cc0b038d4f7e783d963",59421,1.6509,3056
"0xb40e89677d59665d5188541ad860450a6e2a7cc9",57988,6.4193,1377
"0x140891ee5c1214859198b80f0a5a4880ba57b4f8",57677,4.0825,3865
"0x6b1bdf3c115b85083dd41feae4daf7a634531923",57393,3.9972,2570
"0x03c3b0236c5a01051381482e77f2210349073a1d",57063,3.4115,1739
"0x682c92615993fd1f75cdfe101efdc1a8adcb17ae",56257,3.0807,284
"0xba016b05c84c9f073e5c9059d247d37cea4b8535",55924,8.3382,4074
"0x7b4c29806e59b91a2c9dfa98f8b2106b09cd0e86",55703,0.2656,7111
"0x2b19beaaae9eeaa1898cf2910be04fda27eb8521",55655,4.7968,618
"0x3abffa6d0b8a22423a66064ca458499225feb143",55532,12.0564,5831
"0xa20b482f97063f4f88ef621c9203e60814399940",55436,4.5303,614
"0xa509ae942ac8d8bc3f8c5df30cb6ae2c9b13ae46",55405,8.5053,1316
"0xc0f3a8bbb57dbbab78e6de8b18c5dc74c935885a",54987,5.2605,2682
"0x44cb58cca46f740a81628fb27fe110bd861cd372",54639,2.9632,1905
"0xcb3143ee858e14d0b3fe40ffeaea78416e646b02",54462,2.3319,195
"0x5f4d4927ea3ca72c9735f56778cfbb046c186be0",53115,8.6427,78
"0x1ce03385b4606a5852af5c6499b93866dc492a5a",53108,4.3341,1940
"0x0fbf068e861a9063b4912a2f8281ec2be7208b8a",52525,2.5843,984
"0x8f15685e3b103deff9026b11926dfefb7a9b0d75",52234,3.9126,2298
"0x37c94ea1b44e01b18a1ce3ab6f8002bd6b9d7e6d",52223,6.1322,1989
"0xb7af4bc5ea74bc9414784b4101eadcef587fcb65",52090,2.2081,2735
"0x137f248e19e679fd90ddbf041f01249f91f26689",51050,2.6152,852
"0x20adec95e25b77acdb797d8cbebf3fed374aa7c6",50984,5.5226,3260
"0x97d752bf65d00b9de52289f06b4e27c145efa53c",50949,2.2888,670
"0xf0078630935f985f1d03f7d2b3cd4bfb76d810b4",50862,7.0593,3381
"0xe133e5ae2b6796dfbacdc7d9387b0a1738bd2c34",50585,10.1739,1255
